rtakada/nlp36.txt : rokumura/nlp36.txt
< ながら 0.0008675086508544233
< 自分 0.0008481229826789055
< ので 0.0008481229826789055
< 少し 0.0008335837315472671
< 頭 0.0008190444804156287
< ちょっと 0.0008190444804156287
< でしょ 0.0007851195611084725
< 訳 0.0007705803099768341
< 前 0.0007657338929329547
< 日 0.0007463482247574368
< 声 0.0007463482247574368
< かい 0.0007415018077135574
< うち 0.0007366553906696779
< ほど 0.000726962556581919
< 聞い 0.000726962556581919
< 知れ 0.000726962556581919
< ただ 0.000726962556581919
< 私 0.0007221161395380395
< として 0.0007221161395380395
< だって 0.0007172697224941601
< 男 0.0007124233054502806
< 思う 0.0007075768884064012
< たい 0.0007075768884064012
< 行っ 0.0006978840543186422
< 家 0.0006930376372747628
< せ 0.0006930376372747628
< 子 0.0006930376372747628
< 眼 0.0006881912202308833
< ？ 0.0006833448031870039
< ため 0.0006784983861431243
< 見え 0.0006736519690992449
< よく 0.0006688055520553655
< 出し 0.000663959135011486
< 彼 0.0006494198838798476
< たり 0.0006445734668359682
< 誰 0.0006445734668359682
< かも 0.0006397270497920887
< 間 0.0006348806327482093
< 知ら 0.0006154949645726914
< 所 0.0006154949645726914
< 女 0.000610648547528812
< もう 0.0006058021304849324
< え 0.0006058021304849324
< られ 0.0005864164623094147
< こんな 0.0005815700452655351
< 金田 0.0005767236282216557
< 東風 0.0005718772111777763
< どこ 0.0005718772111777763
< たる 0.0005670307941338968
< ねえ 0.0005621843770900174
< 今日 0.0005621843770900174
< という 0.0005621843770900174
< まだ 0.0005573379600461378
< いや 0.0005524915430022584
< 通り 0.0005524915430022584
< なけれ 0.000547645125958379
< 苦 0.0005427987089144995
< 的 0.0005379522918706201
< ざる 0.0005379522918706201
< れる 0.0005282594577828611
< さえ 0.0005282594577828611
< くる 0.0005282594577828611
< 例 0.0005234130407389817
< 第 0.0005234130407389817
< こう 0.0005185666236951022
< 口 0.0005185666236951022
< まあ 0.0005185666236951022
< なかっ 0.0005137202066512228
< 聞く 0.0005137202066512228
< なり 0.0005040273725634638
< わ 0.0005040273725634638
< 馬鹿 0.0004991809555195844
< 持っ 0.0004991809555195844
< あれ 0.0004991809555195844
< 五 0.0004943345384757049
< 本 0.0004894881214318255
< 行く 0.0004894881214318255
< 心 0.000484641704387946
< 沙弥 0.00047979528734406655
< 年 0.00047979528734406655
< 四 0.00047494887030018705
< ぜ 0.00047494887030018705
< ええ 0.0004701024532563076
< とか 0.0004701024532563076
< ここ 0.0004701024532563076
< 手 0.0004701024532563076
< やる 0.0004652560362124282
< 大きな 0.0004604096191685487
< 話し 0.00045556320212466924
< 度 0.00045556320212466924
< 分ら 0.00045071678508078975
< 今度 0.00045071678508078975
< 下 0.00045071678508078975
< ちゃ 0.00045071678508078975
< やっ 0.00045071678508078975
< 考え 0.0004458703680369103
< しまっ 0.0004410239509930309
< 少々 0.0004361775339491514
< くれ 0.0004361775339491514
< 云わ 0.00043133111690527194
< まい 0.00043133111690527194
< ござい 0.00043133111690527194
< 妙 0.00042648469986139245
< 大変 0.00042648469986139245
< 昔 0.00042648469986139245
< 面白い 0.000421638282817513
< る 0.000421638282817513
< あ 0.00041679186577363357
< いくら 0.00041679186577363357
< 奴 0.00041679186577363357
< あまり 0.0004119454487297541
